d (m),V_sample/V
0.001,1.4388294127353625
0.002,0.9190137483409988
0.003,0.7965539035917693
0.004,0.6951195150273605
0.005,0.5916284054733905
0.006,0.5080435765298655
0.007,0.423816859615132
0.008,0.3280839747999072
0.009000000000000001,0.22979694083666788
0.010000000000000002,0.13532375174431271
0.011,0.04477636010556506
0.012,0.037390698745253755
0.013000000000000001,0.1253017573368763
0.014000000000000002,0.2254634558042765
0.015,0.3342217073113559
0.016,0.4238363209805077
0.017,0.4773905428389121
0.018000000000000002,0.47480035931007525
0.019000000000000003,0.4420051099905244
0.02,0.40639174080425
0.021,0.2506579472263874
0.022000000000000002,0.08499998983040426
0.023,1.6710673955050963
0.024,1.5786495809034442
0.025,0.353787189088192
0.026000000000000002,0.32171982148358946
0.027000000000000003,0.411698697998267
0.028,0.46610101995926534
0.029,0.5432909653095188
0.030000000000000002,0.627344532309131
0.031,0.7223769625969398
0.032,0.8306766506406237
0.033,0.9278444820405484
0.034,0.9901204489675032
0.035,0.9923445307267623
0.036000000000000004,0.9383655882500623
0.037000000000000005,0.8415592196877605
0.038,0.7355174096931343
0.039,0.6355595057213407
0.04,0.5563508723516469
0.041,0.48485062314885075
0.042,0.41973041024172464
0.043000000000000003,0.36266058548662167
0.044000000000000004,0.2320946857490462
0.045,0.09203895445722823
0.046,0.43048815024621917
0.047,inf
0.048,0.6968696627109091
0.049,0.39260855829988167
0.05,0.4604551290672387
0.051000000000000004,0.46158415069007097
0.052000000000000005,0.47526679584082865
0.053000000000000005,0.4366642337383795
0.054,0.3481996985668843
0.055,0.24230356241763562
0.056,0.1412170014213637
0.057,0.04868030237482287
0.058,0.033834701174520934
0.059000000000000004,0.12013907846165083
0.060000000000000005,0.21471079412934463
0.061,0.3166982089047401
0.062,0.41006383139690117
0.063,0.5025263157660342
0.064,0.588283096993268
0.065,0.6794949160739759
0.066,0.7843313505026774
0.067,0.882035796564611
0.068,0.9611998406800744
0.069,1.0167930675698809
0.07,inf
0.07100000000000001,inf
0.07200000000000001,2.0280443517373756
0.07300000000000001,0.939857621178737
0.074,0.6152261877785233
0.075,0.5169107512306339
0.076,0.4388284431954901
0.077,0.34621126436043265
0.078,0.24488549417461916
0.079,0.14680266760109043
0.08,0.05489987492355025
0.081,0.027586409679153934
0.082,0.1143251912837413
0.083,0.21261581428304543
0.084,0.32202048396892236
0.085,0.4145576553166938
0.08600000000000001,0.4763715519957168
0.08700000000000001,0.47538476350853415
0.08800000000000001,0.4097622849426057
0.089,0.313364769977275
0.09,0.20654421387968797
0.091,0.10225240784767105
0.092,0.10526464878571468
0.093,inf
0.094,inf
0.095,inf
0.096,inf
0.097,2.051361566131808
0.098,0.5310044039192717
0.099,0.6300617329348437
